Prompt,gif_path,Geometry Rating,Prompt Adherence Rating
abandoned broken rusty car,GIFs/output-549.gif,1,2
a roller coaster cart,GIFs/output-550.gif,1,1
a small child wearing a simple brown tunic and bare feet with messy brown hair,GIFs/output-551.gif,1,2
a flip phone,GIFs/output-552.gif,1,1
gray plague doctor mask,GIFs/output-553.gif,2,3
"leafless tree, burnt out",GIFs/output-554.gif,3,3
low-poly detailed chest,GIFs/output-555.gif,1,1
realistic beach hut,GIFs/output-556.gif,1,1
"gingerbread cookie girl with long white hair, red dress",GIFs/output-557.gif,1,1
super evil balloon,GIFs/output-558.gif,1,1
mad scientist dog,GIFs/output-559.gif,1,1
old man in wheelchair,GIFs/output-560.gif,1,1
red black sword,GIFs/output-561.gif,2,3
humanoid ai robot,GIFs/output-562.gif,1,2
sparkle time fedora,GIFs/output-563.gif,2,3
one of old those wooden pinhole cameras,GIFs/output-564.gif,1,2
a sci-fi crate with glowing lights,GIFs/output-565.gif,2,3
a wild west building,GIFs/output-566.gif,1,2
giant drilling machine,GIFs/output-567.gif,1,2
a colt single action army,GIFs/output-568.gif,2,3
high poly and high resulotion fantasy knight character,GIFs/output-569.gif,1,2
a cartoonish cheeseburger with one patty,GIFs/output-570.gif,1,3
muscular bunny monster covered in white fur,GIFs/output-571.gif,1,2
a yellowish war monster with armor,GIFs/output-572.gif,2,2
"large diamond-shaped baseball field with grass infield and dirt basepaths, green and brown surface",GIFs/output-573.gif,1,1
sci-fi skeleton of an armored robot squid kraken with teeth,GIFs/output-574.gif,1,1
tall hardcover book with green leather binding and gold spine,GIFs/output-575.gif,2,3
an ornate treasure chest that would fit in an egyptian tomb,GIFs/output-576.gif,2,3
a modern tactical riffle,GIFs/output-577.gif,2,3
low-poly military camo netting,GIFs/output-578.gif,1,1
orc soldier with small head with a dark theme,GIFs/output-579.gif,1,2
city zoo animal enclosure,GIFs/output-580.gif,1,1
a blocky ear of corn,GIFs/output-581.gif,1,1
"young woman in long blue dress with white head covering, carrying wooden bucket, slender build",GIFs/output-582.gif,1,2
tall black standing microphone,GIFs/output-583.gif,2,3
a old gladiator mask,GIFs/output-584.gif,2,3
white ceramic cylindrical toothbrush holder,GIFs/output-585.gif,1,2
a human robot cat with black metalic body and virtual eyes,GIFs/output-586.gif,2,3
vending machine filled with spaghetti,GIFs/output-587.gif,1,2
"lemonade stand that has a sign that sas and only says: ""shop""",GIFs/output-588.gif,1,2
a realistic modern desktop computer,GIFs/output-589.gif,2,2
crystal alien skull,GIFs/output-590.gif,2,3
"shipping container, old",GIFs/output-591.gif,1,3
a bear with a human head,GIFs/output-592.gif,1,2
black gas mask with tube,GIFs/output-593.gif,1,2
industrial drill with handle,GIFs/output-594.gif,1,1
a scary piranha fish,GIFs/output-595.gif,1,1
"wooden dilapidated house, lots of mold and greenery, broken windows, hole in the roof",GIFs/output-596.gif,1,1
scarecrow on a wooden stick,GIFs/output-597.gif,1,1
white soviet building,GIFs/output-598.gif,1,1
a brown raft with a sail,GIFs/output-599.gif,1,1
realistic trash can,GIFs/output-600.gif,1,3
stained glass,GIFs/output-601.gif,2,3
tree,GIFs/output-602.gif,1,3
plant,GIFs/output-603.gif,2,3
carnivorous plant,GIFs/output-604.gif,1,2
flower,GIFs/output-605.gif,3,3
mushroom,GIFs/output-606.gif,3,3
fireplace,GIFs/output-607.gif,2,3
column,GIFs/output-608.gif,3,3
arch,GIFs/output-609.gif,3,3
vine,GIFs/output-610.gif,3,3
table,GIFs/output-611.gif,3,3
chair,GIFs/output-612.gif,3,3
bench,GIFs/output-613.gif,3,3
desk,GIFs/output-614.gif,2,3
bookshelf,GIFs/output-615.gif,3,3
bed,GIFs/output-616.gif,2,3
stool,GIFs/output-617.gif,3,3
sofa,GIFs/output-618.gif,2,3
hammock,GIFs/output-619.gif,3,3
cabinet,GIFs/output-620.gif,3,3
crate,GIFs/output-621.gif,2,3
barrel,GIFs/output-622.gif,2,3
chest,GIFs/output-623.gif,2,3
toilet,GIFs/output-624.gif,2,3
door knob,GIFs/output-625.gif,2,3
sink,GIFs/output-626.gif,1,3
container,GIFs/output-627.gif,2,3
urinal,GIFs/output-628.gif,2,2
warehouse rack,GIFs/output-629.gif,1,1
shower head,GIFs/output-630.gif,2,1
hinge,GIFs/output-631.gif,1,1
door stop,GIFs/output-632.gif,3,1
ATM,GIFs/output-633.gif,3,3
bracket,GIFs/output-634.gif,3,3
vending machine,GIFs/output-635.gif,2,3
hook,GIFs/output-636.gif,2,1
latch,GIFs/output-637.gif,1,1
ceiling fan,GIFs/output-638.gif,2,2
control panel,GIFs/output-639.gif,2,2
cash register,GIFs/output-640.gif,3,3
kiosk,GIFs/output-641.gif,3,3
refrigerator,GIFs/output-642.gif,2,2
ticket machine,GIFs/output-643.gif,3,3
intercom,GIFs/output-644.gif,3,3
television,GIFs/output-645.gif,1,1
TV,GIFs/output-646.gif,3,2
chandelier,GIFs/output-647.gif,3,3
hanging lamp,GIFs/output-648.gif,3,2
street light,GIFs/output-649.gif,3,2
stoplight,GIFs/output-650.gif,3,3
oven,GIFs/output-651.gif,2,1
curtains,GIFs/output-652.gif,1,2
microwave,GIFs/output-653.gif,3,1
tapestry,GIFs/output-654.gif,2,2
security camera,GIFs/output-655.gif,3,3
washing machine,GIFs/output-656.gif,2,2
painting,GIFs/output-657.gif,2,1
toaster,GIFs/output-658.gif,3,2
stove,GIFs/output-659.gif,1,2
banner,GIFs/output-660.gif,2,3
rug,GIFs/output-661.gif,2,2
gravestone,GIFs/output-662.gif,3,3
totem pole,GIFs/output-663.gif,3,3
candle,GIFs/output-664.gif,3,3
book,GIFs/output-665.gif,3,3
vase,GIFs/output-666.gif,3,3
statue,GIFs/output-667.gif,3,3
bust,GIFs/output-668.gif,2,3
anatomical model,GIFs/output-669.gif,2,2
fountain,GIFs/output-670.gif,3,3
figurine,GIFs/output-671.gif,2,2
mug,GIFs/output-672.gif,3,3
cup,GIFs/output-673.gif,3,3
safety cone,GIFs/output-674.gif,3,3
bottle,GIFs/output-675.gif,3,3
plate,GIFs/output-676.gif,3,3
phone booth,GIFs/output-677.gif,3,2
pill bottle,GIFs/output-678.gif,3,3
fire hydrant,GIFs/output-679.gif,3,3
stop sign,GIFs/output-680.gif,2,2
basketball hoop,GIFs/output-681.gif,1,1
diving board,GIFs/output-682.gif,3,2
jack o lantern,GIFs/output-683.gif,2,3
christmas tree,GIFs/output-684.gif,1,2
skate ramp,GIFs/output-685.gif,3,3
menorah,GIFs/output-686.gif,3,3
swingset,GIFs/output-687.gif,3,3
rollercoaster,GIFs/output-688.gif,1,1
volleyball net,GIFs/output-689.gif,1,2
slide,GIFs/output-690.gif,3,3
wreath,GIFs/output-691.gif,1,2
microscope,GIFs/output-692.gif,2,2
oxygen tank,GIFs/output-693.gif,3,3
IV stand with bag,GIFs/output-694.gif,2,2
android phone,GIFs/output-695.gif,2,3
robot arm,GIFs/output-696.gif,2,3
laptop,GIFs/output-697.gif,1,1
xray machine,GIFs/output-698.gif,3,2
phone,GIFs/output-699.gif,2,3
iphone,GIFs/output-700.gif,1,1
camera,GIFs/output-701.gif,2,1
flashlight,GIFs/output-702.gif,2,2
handheld radio,GIFs/output-703.gif,2,3
stethoscope,GIFs/output-704.gif,1,2
bandage,GIFs/output-705.gif,1,1
syringe,GIFs/output-706.gif,2,3
medical kit,GIFs/output-707.gif,2,3
first aid kit,GIFs/output-708.gif,2,3
drill,GIFs/output-709.gif,2,3
saw,GIFs/output-710.gif,1,1
hammer,GIFs/output-711.gif,3,3
wheel barrow,GIFs/output-712.gif,2,3
toolbox,GIFs/output-713.gif,3,3
wagon,GIFs/output-714.gif,2,3
screw,GIFs/output-715.gif,2,3
battery,GIFs/output-716.gif,2,3
bolt,GIFs/output-717.gif,3,1
nail,GIFs/output-718.gif,3,3
needle,GIFs/output-719.gif,2,2
cartridge,GIFs/output-720.gif,2,2
baseball glove,GIFs/output-721.gif,1,3
basketball,GIFs/output-722.gif,1,2
baseball,GIFs/output-723.gif,2,3
soccer ball,GIFs/output-724.gif,2,2
tennis ball,GIFs/output-725.gif,3,3
tennis racquet,GIFs/output-726.gif,1,3
piano,GIFs/output-727.gif,3,3
violin,GIFs/output-728.gif,2,3
guitar,GIFs/output-729.gif,1,2
harp,GIFs/output-730.gif,1,3
violin bow,GIFs/output-731.gif,1,1
cello,GIFs/output-732.gif,2,3
drum,GIFs/output-733.gif,1,2
flute,GIFs/output-734.gif,2,3
battle axe,GIFs/output-735.gif,3,3
sword,GIFs/output-736.gif,3,3
magic staff,GIFs/output-737.gif,3,3
spear,GIFs/output-738.gif,3,3
bow,GIFs/output-739.gif,1,1
gun,GIFs/output-740.gif,2,3
grenade,GIFs/output-741.gif,3,3
rifle,GIFs/output-742.gif,2,3
magic wand,GIFs/output-743.gif,3,3
flame thrower,GIFs/output-744.gif,1,1
machine gun,GIFs/output-745.gif,3,3
scope,GIFs/output-746.gif,3,3
silencer,GIFs/output-747.gif,2,2
stock,GIFs/output-748.gif,3,1
ammunition,GIFs/output-749.gif,2,2
bomb,GIFs/output-750.gif,3,2
arrow,GIFs/output-751.gif,3,3
shirt,GIFs/output-752.gif,3,3
pants,GIFs/output-753.gif,2,1
skirt,GIFs/output-754.gif,3,3
shoe,GIFs/output-755.gif,2,3
space suit,GIFs/output-756.gif,3,3
robe,GIFs/output-757.gif,3,3
jacket,GIFs/output-758.gif,2,3
jersey,GIFs/output-759.gif,2,3
chainmail shirt,GIFs/output-760.gif,1,1
armor,GIFs/output-761.gif,2,3
tactical vest,GIFs/output-762.gif,3,3
exosuit,GIFs/output-763.gif,3,3
hat,GIFs/output-764.gif,2,3
mask,GIFs/output-765.gif,1,2
scarf,GIFs/output-766.gif,2,2
bandana,GIFs/output-767.gif,2,3
tiara,GIFs/output-768.gif,1,1
crown,GIFs/output-769.gif,1,2
goggles,GIFs/output-770.gif,3,2
glasses,GIFs/output-771.gif,1,2
eyepatch,GIFs/output-772.gif,2,1
headband,GIFs/output-773.gif,1,2
wig,GIFs/output-774.gif,2,3
mustache,GIFs/output-775.gif,3,3
necklace,GIFs/output-776.gif,2,3
beard,GIFs/output-777.gif,2,1
bracelet,GIFs/output-778.gif,2,3
purse,GIFs/output-779.gif,3,3
belt,GIFs/output-780.gif,2,3
cane,GIFs/output-781.gif,3,3
gloves,GIFs/output-782.gif,1,2
egg,GIFs/output-783.gif,3,3
raw meat,GIFs/output-784.gif,1,1
apple,GIFs/output-785.gif,3,3
carrot,GIFs/output-786.gif,3,3
potato,GIFs/output-787.gif,3,3
orange,GIFs/output-788.gif,1,1
sandwich,GIFs/output-789.gif,3,3
cake,GIFs/output-790.gif,3,3
bread,GIFs/output-791.gif,3,3
pizza,GIFs/output-792.gif,3,3
burger,GIFs/output-793.gif,3,3
fries,GIFs/output-794.gif,2,3
soda can,GIFs/output-795.gif,2,3
juice box,GIFs/output-796.gif,1,2
water bottle,GIFs/output-797.gif,3,3
canned food,GIFs/output-798.gif,3,3
spam,GIFs/output-799.gif,1,1
sports car,GIFs/output-800.gif,3,3
convertible,GIFs/output-801.gif,3,3
MRE,GIFs/output-802.gif,3,2
sedan,GIFs/output-803.gif,2,3
SUV,GIFs/output-804.gif,2,3
taxi,GIFs/output-805.gif,3,3
city bus,GIFs/output-806.gif,1,1
school bus,GIFs/output-807.gif,1,2
double decker bus,GIFs/output-808.gif,3,3
motorhome,GIFs/output-809.gif,3,3
RV,GIFs/output-810.gif,1,2
van,GIFs/output-811.gif,1,2
ambulance,GIFs/output-812.gif,2,3
pickup truck,GIFs/output-813.gif,3,3
truck,GIFs/output-814.gif,2,3
cargo truck,GIFs/output-815.gif,3,3
armored truck,GIFs/output-816.gif,2,3
firetruck,GIFs/output-817.gif,2,3
bicycle,GIFs/output-818.gif,1,2
wheelchair,GIFs/output-819.gif,1,2
train,GIFs/output-820.gif,2,3
subway,GIFs/output-821.gif,2,3
scooter,GIFs/output-822.gif,2,3
monorail,GIFs/output-823.gif,2,2
bulldozer,GIFs/output-824.gif,1,2
tractor,GIFs/output-825.gif,2,3
forklift,GIFs/output-826.gif,2,3
tanks,GIFs/output-827.gif,2,1
horse-drawn wagon,GIFs/output-828.gif,1,2
weaponized jeep,GIFs/output-829.gif,2,2
chariot,GIFs/output-830.gif,1,2
trailer,GIFs/output-831.gif,3,3
sidebar,GIFs/output-832.gif,3,1
sled,GIFs/output-833.gif,3,3
carriage,GIFs/output-834.gif,1,2
plane,GIFs/output-835.gif,2,2
caravan,GIFs/output-836.gif,2,3
airplane,GIFs/output-837.gif,1,3
jet,GIFs/output-838.gif,2,2
helicopter,GIFs/output-839.gif,2,3
fighter jet,GIFs/output-840.gif,1,3
military helicopter,GIFs/output-841.gif,2,2
combat drone,GIFs/output-842.gif,1,2
drone,GIFs/output-843.gif,3,3
delivery drone,GIFs/output-844.gif,2,3
blimp,GIFs/output-845.gif,2,2
hot air balloon,GIFs/output-846.gif,2,3
floating bike,GIFs/output-847.gif,1,1
sci-fi car,GIFs/output-848.gif,2,2
space shuttle,GIFs/output-849.gif,2,1
rocket,GIFs/output-850.gif,3,3
hoverboard,GIFs/output-851.gif,2,3
fishing boat,GIFs/output-852.gif,2,1
boat,GIFs/output-853.gif,3,3
speed boat,GIFs/output-854.gif,2,3
cargo ship,GIFs/output-855.gif,1,2
sailboat,GIFs/output-856.gif,1,2
tugboat,GIFs/output-857.gif,1,2
cruise ship,GIFs/output-858.gif,2,3
warship,GIFs/output-859.gif,1,2
pirate ship,GIFs/output-860.gif,1,2
submarine,GIFs/output-861.gif,2,2
jetski,GIFs/output-862.gif,2,2
humanoid robot,GIFs/output-863.gif,2,3
military submarine,GIFs/output-864.gif,2,3
battle mech,GIFs/output-865.gif,2,3
teleportation platform,GIFs/output-866.gif,3,3
worker mech,GIFs/output-867.gif,3,3
flying broom,GIFs/output-868.gif,2,2
car frame,GIFs/output-869.gif,2,2
magic carpet,GIFs/output-870.gif,3,3
car door,GIFs/output-871.gif,1,1
engine,GIFs/output-872.gif,1,2
steering wheel,GIFs/output-873.gif,2,3
gear,GIFs/output-874.gif,3,3
wheel,GIFs/output-875.gif,1,2
motor,GIFs/output-876.gif,1,2
propeller,GIFs/output-877.gif,1,2
handlebar,GIFs/output-878.gif,2,2
human,GIFs/output-879.gif,3,3
man,GIFs/output-880.gif,2,3
child,GIFs/output-881.gif,2,3
dwarf,GIFs/output-882.gif,3,3
alien,GIFs/output-883.gif,3,3
goblin,GIFs/output-884.gif,3,3
cyborg,GIFs/output-885.gif,2,3
orc,GIFs/output-886.gif,3,3
elf,GIFs/output-887.gif,2,3
factory robot arm,GIFs/output-888.gif,2,2
assembly bot,GIFs/output-889.gif,2,3
humanoid android,GIFs/output-890.gif,2,3
wolf,GIFs/output-891.gif,2,3
lion,GIFs/output-892.gif,1,3
monkey,GIFs/output-893.gif,1,2
whale,GIFs/output-894.gif,2,3
dog,GIFs/output-895.gif,1,3
rat,GIFs/output-896.gif,2,3
cat,GIFs/output-897.gif,2,3
turtle,GIFs/output-898.gif,3,3
lizard,GIFs/output-899.gif,1,3
hamster,GIFs/output-900.gif,2,3
snake,GIFs/output-901.gif,3,3
fish,GIFs/output-902.gif,2,3
shark,GIFs/output-903.gif,2,3
frog,GIFs/output-904.gif,3,3
eel,GIFs/output-905.gif,1,1
crab,GIFs/output-906.gif,3,3
eagle,GIFs/output-907.gif,2,3
owl,GIFs/output-908.gif,2,3
crow,GIFs/output-909.gif,2,3
spider,GIFs/output-910.gif,3,3
seagull,GIFs/output-911.gif,3,3
beetle,GIFs/output-912.gif,2,3
scorpion,GIFs/output-913.gif,2,3
butterfly,GIFs/output-914.gif,1,3
ant,GIFs/output-915.gif,2,3
bacteria,GIFs/output-916.gif,2,2
virus,GIFs/output-917.gif,2,3
t rex,GIFs/output-918.gif,2,3
velociraptor,GIFs/output-919.gif,2,3
werewolf,GIFs/output-920.gif,2,3
dinosaur,GIFs/output-921.gif,2,3
demon,GIFs/output-922.gif,2,3
tentacled beast,GIFs/output-923.gif,2,3
dragon,GIFs/output-924.gif,2,3
zombie,GIFs/output-925.gif,2,3
grffin,GIFs/output-926.gif,1,1
house,GIFs/output-927.gif,2,3
hut,GIFs/output-928.gif,3,3
mansion,GIFs/output-929.gif,2,3
tent,GIFs/output-930.gif,1,3
yurt,GIFs/output-931.gif,3,3
factory,GIFs/output-932.gif,1,2
office building,GIFs/output-933.gif,3,3
fortress,GIFs/output-934.gif,2,3
castle,GIFs/output-935.gif,2,3
watchtower,GIFs/output-936.gif,2,3
treehouse,GIFs/output-937.gif,1,3
school,GIFs/output-938.gif,2,3
hospital,GIFs/output-939.gif,1,1
police station,GIFs/output-940.gif,1,1
arena,GIFs/output-941.gif,1,2
elevator,GIFs/output-942.gif,2,3
circus tent,GIFs/output-943.gif,1,2
church,GIFs/output-944.gif,1,3
theater,GIFs/output-945.gif,1,1
escalator,GIFs/output-946.gif,1,3
gate,GIFs/output-947.gif,2,3
clock tower,GIFs/output-948.gif,2,3
trapdoors,GIFs/output-949.gif,2,2
windmill,GIFs/output-950.gif,1,2
drawbridge,GIFs/output-951.gif,1,1
car,GIFs/output-952.gif,2,3
gun,GIFs/output-953.gif,3,3
dog,GIFs/output-954.gif,1,3
cat,GIFs/output-955.gif,2,3
poop,GIFs/output-956.gif,1,2
house,GIFs/output-957.gif,2,3
apple,GIFs/output-958.gif,3,3
burger,GIFs/output-959.gif,2,3
sword,GIFs/output-960.gif,3,3
banana,GIFs/output-961.gif,2,3
girl,GIFs/output-962.gif,1,3
pizza,GIFs/output-963.gif,1,3
money,GIFs/output-964.gif,1,1
ball,GIFs/output-965.gif,3,3
skibidi toilet,GIFs/output-966.gif,3,3
tree,GIFs/output-967.gif,1,3
chicken,GIFs/output-968.gif,3,3
man,GIFs/output-969.gif,2,3
duck,GIFs/output-970.gif,3,3
cube,GIFs/output-971.gif,2,3
donut,GIFs/output-972.gif,3,3
knife,GIFs/output-973.gif,3,3
fly,GIFs/output-974.gif,2,1
bunny,GIFs/output-975.gif,3,3
toilet,GIFs/output-976.gif,2,3
dragon,GIFs/output-977.gif,3,3
boy,GIFs/output-978.gif,3,3
robot,GIFs/output-979.gif,3,3
pistol,GIFs/output-980.gif,3,3
food,GIFs/output-981.gif,1,1
fish,GIFs/output-982.gif,2,3
cheese,GIFs/output-983.gif,3,3
horse,GIFs/output-984.gif,2,3
cake,GIFs/output-985.gif,3,3
plane,GIFs/output-986.gif,2,2
chair,GIFs/output-987.gif,3,3
woman,GIFs/output-988.gif,1,2
frog,GIFs/output-989.gif,3,2
unicorn,GIFs/output-990.gif,2,2
human,GIFs/output-991.gif,3,3
flower,GIFs/output-992.gif,2,3
magician,GIFs/output-993.gif,2,2
rabbit,GIFs/output-994.gif,3,3
cheeseburger,GIFs/output-995.gif,2,2
heart,GIFs/output-996.gif,3,3
bomb,GIFs/output-997.gif,3,3
water,GIFs/output-998.gif,3,3
dinosaur,GIFs/output-999.gif,2,2
tank,GIFs/output-1000.gif,2,3
block,GIFs/output-1001.gif,2,2
hat,GIFs/output-1002.gif,3,3
egg,GIFs/output-1003.gif,3,3
hamburger,GIFs/output-1004.gif,3,3
shark,GIFs/output-1005.gif,2,3
person,GIFs/output-1006.gif,2,3
cookie,GIFs/output-1007.gif,3,3
ak47,GIFs/output-1008.gif,2,3
bird,GIFs/output-1009.gif,2,3
tower,GIFs/output-1010.gif,3,3
hotdog,GIFs/output-1011.gif,2,1
ak-47,GIFs/output-1012.gif,2,3
nuke,GIFs/output-1013.gif,3,3
anime girl,GIFs/output-1014.gif,1,3
box,GIFs/output-1015.gif,1,1
monster,GIFs/output-1016.gif,2,3
bear,GIFs/output-1017.gif,2,2
helicopter,GIFs/output-1018.gif,2,3
gato,GIFs/output-1019.gif,3,3
kitty,GIFs/output-1020.gif,3,3
phone,GIFs/output-1021.gif,2,2
circle,GIFs/output-1022.gif,3,3
taco,GIFs/output-1023.gif,2,2
ice cream,GIFs/output-1024.gif,2,3
glock,GIFs/output-1025.gif,3,3
godzilla,GIFs/output-1026.gif,2,2
minecraft,GIFs/output-1027.gif,1,1
table,GIFs/output-1028.gif,3,3
shotgun,GIFs/output-1029.gif,2,3
bob,GIFs/output-1030.gif,2,3
square,GIFs/output-1031.gif,1,2
zombie,GIFs/output-1032.gif,2,3
dad,GIFs/output-1033.gif,3,3
spider,GIFs/output-1034.gif,2,3
usa,GIFs/output-1035.gif,3,1
train,GIFs/output-1036.gif,3,3
cow,GIFs/output-1037.gif,2,3
grass,GIFs/output-1038.gif,1,1
fire,GIFs/output-1039.gif,2,2
test,GIFs/output-1040.gif,1,1
big,GIFs/output-1041.gif,1,1
doll,GIFs/output-1042.gif,3,2
airplane,GIFs/output-1043.gif,2,2
lamborghini,GIFs/output-1044.gif,3,2
alien,GIFs/output-1045.gif,3,3
a car,GIFs/output-1046.gif,2,3
rock,GIFs/output-1047.gif,3,3
balloon,GIFs/output-1048.gif,2,3
bed,GIFs/output-1049.gif,2,3
wall,GIFs/output-1050.gif,3,1
cats,GIFs/output-1051.gif,2,2
door,GIFs/output-1052.gif,2,3
donut shop,GIFs/output-1053.gif,2,1
feet,GIFs/output-1054.gif,2,3
capybara,GIFs/output-1055.gif,2,2
player,GIFs/output-1056.gif,2,3
america,GIFs/output-1057.gif,1,1
philippines,GIFs/output-1058.gif,1,1
mom,GIFs/output-1059.gif,2,1
castle,GIFs/output-1060.gif,2,3
sphere,GIFs/output-1061.gif,3,3
japan,GIFs/output-1062.gif,2,1
sigma boy,GIFs/output-1063.gif,2,1
guy,GIFs/output-1064.gif,2,3
toy robot,GIFs/output-1065.gif,3,3
mexico,GIFs/output-1066.gif,1,1
puppy,GIFs/output-1067.gif,3,3
bread,GIFs/output-1068.gif,3,3
potato,GIFs/output-1069.gif,3,3
wolf,GIFs/output-1070.gif,2,2
flowers,GIFs/output-1071.gif,1,2
a cat,GIFs/output-1072.gif,1,2
flag,GIFs/output-1073.gif,1,2
casa,GIFs/output-1074.gif,3,3
mouse,GIFs/output-1075.gif,2,3
npc,GIFs/output-1076.gif,2,3
men,GIFs/output-1077.gif,3,3
truck,GIFs/output-1078.gif,2,3
rainbow,GIFs/output-1079.gif,2,3
brasil,GIFs/output-1080.gif,1,1
ghost,GIFs/output-1081.gif,2,3
minigun,GIFs/output-1082.gif,2,2
rose,GIFs/output-1083.gif,1,2
kid,GIFs/output-1084.gif,2,3
star,GIFs/output-1085.gif,3,3
bike,GIFs/output-1086.gif,1,3
rifle,GIFs/output-1087.gif,2,3
toy,GIFs/output-1088.gif,3,2
demon,GIFs/output-1089.gif,3,3
stick,GIFs/output-1090.gif,3,3
fox,GIFs/output-1091.gif,2,3
"A small traditional Japanese wooden house with a sloped roof, sliding doors, and simple yet elegant architectural details, embodying a rustic charm.",GIFs/output-1092.gif,2,2
"A tall, multi-tiered pagoda with a square base, curved roofs on each tier, and intricate wooden details, painted in red and black with snow-covered edges.",GIFs/output-1093.gif,2,3
"A traditional multi-tiered pagoda with ornate curved roofs, intricate wooden details, and vibrant red and gold accents, standing tall as a centerpiece.",GIFs/output-1094.gif,2,3
"A cute cartoonish stylized Godzilla with exagerated features such as large eyes, a rounded body small arms and playful expression.",GIFs/output-1095.gif,2,2
"A traditional Japanese stone lantern with a square base, slender column, and detailed carvings, adding a touch of cultural elegance to the landscape.",GIFs/output-1096.gif,3,2
"A medium-sized Japanese maple tree with a twisting trunk, vibrant red leaves, and a graceful branching structure, providing shade and beauty.",GIFs/output-1097.gif,1,2
"A small tranquil pond with clear water, surrounded by smooth stones and lush greenery, creating a peaceful atmosphere.",GIFs/output-1098.gif,2,2
"A traditional Japanese torii gate with tall red pillars and a black crossbar, symbolizing the entrance to a sacred space, featuring a simple yet elegant design.",GIFs/output-1099.gif,3,3
"A traditional Japanese market stall with a wooden frame, a thatched roof, and shelves displaying an assortment of colorful goods and wares.",GIFs/output-1100.gif,2,2
"A cozy wooden cottage with a steep triangular roof covered in snow, timber-framed walls, a stone chimney, and small rectangular windows emitting warm yellow light.",GIFs/output-1101.gif,2,3
"A small wooden bridge with snow-covered planks, arched sides, and simple railings, crossing over snowy paths.",GIFs/output-1102.gif,2,3
"A sleek modern snowmobile with a streamlined design, featuring a glossy black and red body, skis in the front, and a continuous track at the rear.",GIFs/output-1103.gif,3,2
"A small stone cat statue with intricate carvings, depicting a sitting cat with a peaceful expression, adding a whimsical touch to the garden.",GIFs/output-1104.gif,2,2
"A tall pine tree with a straight trunk, dense green foliage, and snow lightly dusting its branches, creating a wintry appearance.",GIFs/output-1105.gif,2,3
"A rustic wooden chalet with a snow-covered roof, timber-framed walls, a small front porch, and glowing rectangular windows.",GIFs/output-1106.gif,2,2
"A whimsical sculpture of a cheerful penguin wearing a red scarf and a green winter hat, standing on an icy base with a playful pose. The statue adds a fun and playful winter theme to the alpine village.",GIFs/output-1107.gif,1,1
A sleek red fox with a bushy tail and pointed ears.,GIFs/output-1108.gif,1,2
"A rustic wooden farmhouse with a pitched roof, a wide front porch with supporting wooden columns, wooden shutters, and a chimney on the roof.",GIFs/output-1109.gif,1,2
"A tall bell tower adjacent to the church, made of stone with arched openings, housing a large bronze bell.",GIFs/output-1110.gif,2,3
"A wooden horse stable with a slanted roof, multiple stalls, and a large open entrance.",GIFs/output-1111.gif,3,1
"A grand stone church with tall spires, arched stained glass windows, and a large wooden double door, covered lightly in snow.",GIFs/output-1112.gif,1,1
"A medium-sized pyramid with a square base and smooth triangular sides leading to a sharp apex, made of limestone blocks with visible joints between the stones.",GIFs/output-1113.gif,3,2
A rectangular hay bale with a tightly packed straw texture and tied with two horizontal ropes.,GIFs/output-1114.gif,1,1
"A brown horse with a shiny coat, a long black mane, and a tail. It is standing upright with its legs slightly apart.",GIFs/output-1115.gif,3,3
"A tall desert palm tree with a straight, textured trunk and a crown of long, arching green fronds, providing shade in the desert.",GIFs/output-1116.gif,2,2
"A ceramic canopic jar with a lid shaped like a jackal's head, featuring faded painted patterns and a smooth, rounded body.",GIFs/output-1117.gif,3,3
"A tall, tan-colored camel with a single hump, long legs, and a slender neck, standing upright with a calm expression.",GIFs/output-1118.gif,2,2
"A large black rectangular speaker with a textured front grille, smooth sides, and a solid base, featuring visible sound output panels.",GIFs/output-1119.gif,1,1
"A sleek black metal microphone stand with a thin cylindrical pole, an adjustable height mechanism, and a circular base for stability.",GIFs/output-1120.gif,2,2
"A classical wooden bookshelf with intricate carved details on its edges, a rich dark brown finish, and multiple evenly spaced shelves for books and decorative items.",GIFs/output-1121.gif,2,2
"A modern spotlight with a cylindrical black metal body, a circular lens at the front, and a small adjustable stand for directional lighting.",GIFs/output-1122.gif,2,2
"A long curved bar counter with a shiny red top, a smooth wooden base in light brown, and decorative trim in blue, designed to seat 8-10 customers.",GIFs/output-1123.gif,1,2
"A colorful glass cake display featuring exaggerated cartoony desserts like oversized cupcakes and bright, multi-layered cakes.",GIFs/output-1124.gif,2,3
"A tall, cartoony bar stool with a round, bright yellow cushioned seat, a green cylindrical support, and a blue circular base.",GIFs/output-1125.gif,3,3
"A tall, crumbling stone wall with visible cracks and missing bricks, covered in moss and weathered by time.",GIFs/output-1126.gif,2,2
A metal torch holder with a flickering flame casting eerie shadows.,GIFs/output-1127.gif,3,3
"A tall wooden watchtower with a square base, a platform at the top, and a roof supported by wooden beams.",GIFs/output-1128.gif,3,3
"A large triangular tent made of beige fabric, supported by wooden poles and ropes.",GIFs/output-1129.gif,3,3
"A tall banner with a red fabric flag, mounted on a wooden pole, waving in the wind.",GIFs/output-1130.gif,3,2
"a circular stone fountain with a central sculpted statue, water flowing from multiple spouts, and a shallow pool at the base.",GIFs/output-1131.gif,1,2
